x,x,x,x,common beetle,"carlus, like brevicollis but no snatched pronotum",conspicuous setae on antenna,strenuus (like loricera but antenae not hairy),"niger, like brev but 2 cm","night1 took ages,","dull, semicircle pronotum, simialr to brevicollis, slighly bigger","metallic green,  ~1cm","3-4 mm, black, shiny, dark antennae, lighter legs","oo like membidion but light bronze, 5- 6.5 mm","big eyes, 5mm",like obsurus but lighter and more obvious neck,"coppery + green, 9mm",amara plebeja - dome shaped beetle,"aenea, like other amara but has black legs completely","snatched waist, weird feet",nebria_rufescens,madidus,oodes_helopioides,"carabus_coriaceus_larvae, base of ;egs lighter, ceric same length as tube",non-identifiable
november,1,fallow,pitfall_1,8,,0,,,,0,,,,,0,,,0,,5,,,,
november,1,fallow,pitfall_2,6,,0,,,,0,,,,,1,,,0,,2,,1,1,
november,1,fallow,pitfall_3,8,,0,1,,,0,,,,1,1,,,0,,2,,,,
november,1,fallow,sub_1,3,,0,,,,0,,,,,0,4,,0,,1,,,,
november,1,fallow,sub_2,0,,0,,,,0,,1,,,1,,,0,,,,,,
november,2,mustard,pitfall_1,13,,0,1,,,0,,1,,,1,,,0,,4,,,,
november,2,mustard,pitfall_2,0,,0,,,,0,,,,,0,,,0,,,,,,
november,2,mustard,pitfall_3,8,,2,,,,0,,,,,1,,,0,,6,1,,,
november,2,mustard,sub_1,3,,0,,,,0,,1,,,1,,,0,,,,,,
november,2,mustard,sub_2,2,,0,1,,,0,,2,,,0,,,0,,3,,,,
november,3,mustard,pitfall_1,9,,0,,,,0,,,1,,0,,,0,,2,1,,,
november,3,mustard,pitfall_2,1,,0,1,,,0,,2,,,0,,,0,,1,,,,
november,3,mustard,pitfall_3,5,,0,1,,,0,,,,,2,,,0,,,,,,
november,3,mustard,sub_1,2,,0,,,,0,,,,,0,,,0,,1,,,,
november,3,mustard,sub_2,0,,0,,,,0,,,,,0,,,0,,,,,,
november,4,fallow,pitfall_1,6,,0,,,,0,,4,,,0,,,0,,,,,,
november,4,fallow,pitfall_2,6,,0,,,,0,,,,,1,,,0,,1,,1,,
november,4,fallow,pitfall_3,5,,0,,,,0,,,,1,2,,,0,,2,,,,
november,4,fallow,sub_1,0,,0,,,,0,,,,,1,,,0,,,1,,,
november,4,fallow,sub_2,1,,0,,,,0,,,,,1,,,0,,,,,,
november,5,mustard,pitfall_1,6,,0,,,,0,,,,,0,,,0,,,,,,
november,5,mustard,pitfall_2,17,,2,3,,,0,,2,1,,5,,,0,,1,,,,
november,5,mustard,pitfall_3,6,,0,3,,,0,,,,,0,,,0,,,,,,
november,5,mustard,sub_1,2,,0,,,,0,,,,,2,,,0,,,,,,
november,5,mustard,sub_2,0,,0,,,,0,,1,,,0,,,0,,1,,,,1
november,6,fallow,pitfall_1,3,,0,,,,0,,1,,,0,,,0,,2,,,,
november,6,fallow,pitfall_2,9,,0,,,,0,,1,,,1,,,0,,2,,,,
november,6,fallow,pitfall_3,1,,0,2,,,0,,,,,0,,,0,,1,,,,1
november,6,fallow,sub_1,1,,1,,,,0,,,,,0,,,1,,3,,,,
november,6,fallow,sub_2,1,,0,,,,0,,,,,0,,,0,,,,,,
november,7,fallow,pitfall_1,6,,0,1,,,0,,,,,0,,,0,,3,,,,
november,7,fallow,pitfall_2,4,,0,,,,0,,,,,1,,,0,,2,,,,2
november,7,fallow,pitfall_3,6,,0,,,,0,,,,,0,,,0,,1,,,,
november,7,fallow,sub_1,1,,0,,,,0,,2,1,,0,,,0,,4,1,,,
november,7,fallow,sub_2,0,,0,,,,0,,,,,0,,,0,,1,,,,
november,8,mustard,pitfall_1,10,,1,2,,,0,,,,,3,,,0,,1,,,,
november,8,mustard,pitfall_2,11,,1,1,,,0,,,,,1,,,1,,1,,,,
november,8,mustard,pitfall_3,21,,2,3,,,0,,,,,3,,,1,,2,,,,
november,8,mustard,sub_1,2,,0,,,,0,,,,,2,,,0,,,,,,
november,8,mustard,sub_2,2,,0,,,,0,,,,,5,,,0,,2,1,,,
